"","chbal_1","chbalni_1","scus_1","scust_1","scmuni_1","SCDOMO_1","idscod_1","scford_1","sceq_1","lnre_1","lnag_1","lnci_1","lncon_1","itrade_1","ifrepo_1","IDdepsam_1","DEPSMRA_1","IDdeplam_1","DEPLGRA_1","chbal_2","chbalni_2","scus_2","scust_2","scmuni_2","SCDOMO_2","idscod_2","scford_2","sceq_2","lnre_2","lnag_2","lnci_2","lncon_2","itrade_2","ifrepo_2","IDdepsam_2","DEPSMRA_2","IDdeplam_2","DEPLGRA_2","chbal_3","chbalni_3","scus_3","scust_3","scmuni_3","SCDOMO_3","idscod_3","scford_3","sceq_3","lnre_3","lnag_3","lnci_3","lncon_3","itrade_3","ifrepo_3","IDdepsam_3","DEPSMRA_3","IDdeplam_3","DEPLGRA_3","chbal_4","chbalni_4","scus_4","scust_4","scmuni_4","SCDOMO_4","idscod_4","scford_4","sceq_4","lnre_4","lnag_4","lnci_4","lncon_4","itrade_4","ifrepo_4","IDdepsam_4","DEPSMRA_4","IDdeplam_4","DEPLGRA_4","chbal_5","chbalni_5","scus_5","scust_5","scmuni_5","SCDOMO_5","idscod_5","scford_5","sceq_5","lnre_5","lnag_5","lnci_5","lncon_5","itrade_5","ifrepo_5","IDdepsam_5","DEPSMRA_5","IDdeplam_5","DEPLGRA_5","chbal_6","chbalni_6","scus_6","scust_6","scmuni_6","SCDOMO_6","idscod_6","scford_6","sceq_6","lnre_6","lnag_6","lnci_6","lncon_6","itrade_6","ifrepo_6","IDdepsam_6","DEPSMRA_6","IDdeplam_6","DEPLGRA_6","chbal_7","chbalni_7","scus_7","scust_7","scmuni_7","SCDOMO_7","idscod_7","scford_7","sceq_7","lnre_7","lnag_7","lnci_7","lncon_7","itrade_7","ifrepo_7","IDdepsam_7","DEPSMRA_7","IDdeplam_7","DEPLGRA_7","chbal_8","chbalni_8","scus_8","scust_8","scmuni_8","SCDOMO_8","idscod_8","scford_8","sceq_8","lnre_8","lnag_8","lnci_8","lncon_8","itrade_8","ifrepo_8","IDdepsam_8","DEPSMRA_8","IDdeplam_8","DEPLGRA_8","chbal_9","chbalni_9","scus_9","scust_9","scmuni_9","SCDOMO_9","idscod_9","scford_9","sceq_9","lnre_9","lnag_9","lnci_9","lncon_9","itrade_9","ifrepo_9","IDdepsam_9","DEPSMRA_9","IDdeplam_9","DEPLGRA_9","chbal_10","chbalni_10","scus_10","scust_10","scmuni_10","SCDOMO_10","idscod_10","scford_10","sceq_10","lnre_10","lnag_10","lnci_10","lncon_10","itrade_10","ifrepo_10","IDdepsam_10","DEPSMRA_10","IDdeplam_10","DEPLGRA_10"
"JPMorgan Chase Bank, National Association",500146000,26658000,117970000,12825000,36991000,103678000,38072000,81739000,118000,289657000,719000,126031000,93429000,4714000,1210000,362319000,8895000,758793000,1225000,508253000,22994000,115145000,11411000,39590000,96581000,30821000,72550000,81000,300791000,630000,127932000,90775000,1083000,266000,380392000,8759000,744788000,1229000,394078000,23213000,108061000,11042000,40709000,93681000,27703000,68376000,82000,316073000,463000,134232000,92833000,2156000,438000,382370000,8664000,722096000,1229000,372994000,20392000,103444000,11305000,42211000,90666000,25039000,63522000,68000,338774000,749000,128823000,94329000,3128000,702000,384768000,8593000,696766000,1287000,337791000,19368000,102373000,10998000,43207000,81399000,17161000,57697000,69000,351646000,818000,134944000,94827000,4097000,950000,398584000,8679000,716553000,1350000,382386000,17294000,103032000,12053000,43001000,79227000,15723000,54386000,66000,360393000,621000,145418000,97632000,1044000,348000,416822000,8910000,758224000,1496000,369087000,18760000,104513000,14790000,43524000,76486000,15400000,48429000,53000,370890000,667000,150309000,100584000,2218000,690000,417992000,9095000,766004000,1535000,433156000,19984000,110060000,21477000,42985000,68488000,12236000,45262000,54000,376447000,558000,156718000,99603000,3421000,1037000,430180000,9238000,830282000,1629000,413066000,21226000,138016000,44072000,43372000,60847000,11170000,42643000,54000,379357000,509000,152450000,102351000,4578000,1372000,438586000,9397000,826195000,1717000,482562000,19133000,136207000,42462000,43978000,58516000,13162000,39060000,39000,384550000,499000,157009000,99326000,1154000,290000,461306000,9362000,829870000,1630000
"Wells Fargo Bank, National Association",241643000,18743000,166077000,60723000,39719000,71824000,9205000,4264000,69000,450813000,5565000,158207000,108482000,386000,144000,521503000,36913000,558941000,1266000,271791000,18155000,175947000,68198000,42624000,71586000,8664000,4016000,49000,456646000,4775000,160539000,108558000,106000,48000,540564000,36258000,574259000,1336000,207251000,17464000,194293000,74563000,44346000,71098000,8404000,4041000,41000,467917000,4621000,165833000,111259000,212000,91000,528134000,36105000,573905000,1332000,226356000,15085000,199165000,74023000,45692000,70785000,8073000,3918000,58000,470053000,4655000,164349000,114108000,307000,134000,512282000,38137000,594665000,1002000,240008000,16979000,202243000,74764000,46469000,70554000,8504000,3673000,51000,469461000,5459000,163175000,116544000,425000,181000,511544000,37838000,625932000,995000,266965000,17096000,193599000,72489000,48150000,69901000,8154000,3685000,49000,471822000,4678000,185439000,116368000,118000,56000,528094000,38735000,632986000,1005000,259581000,18611000,212320000,69111000,50915000,69038000,8051000,3563000,30000,482802000,4393000,186751000,118497000,239000,116000,530809000,39083000,638711000,1008000,246316000,17662000,249075000,67793000,53335000,66677000,8288000,3142000,32000,489111000,4400000,185901000,120455000,385000,183000,545546000,39785000,639325000,1082000,220111000,19607000,267281000,67366000,53121000,63105000,7581000,2415000,34000,484495000,5343000,182539000,120802000,575000,264000,541763000,39876000,690094000,1086000,246435000,18876000,270504000,66175000,54370000,59635000,7360000,1635000,30000,475336000,4480000,183535000,116626000,172000,84000,561330000,39276000,741554000,1051000
"Bank of America, National Association",127221000,26057000,310555000,67035000,7451000,14628000,3462000,4213000,3615000,347751000,1388000,212430000,179038000,1611000,153000,519345000,41630000,655828000,3678000,148889000,23974000,317162000,57045000,7679000,12645000,3040000,4175000,2998000,341555000,1259000,214769000,172923000,377000,39000,534847000,40592000,666758000,3888000,148349000,24522000,322832000,55925000,9398000,12691000,2877000,4324000,4127000,330642000,1253000,225247000,176792000,763000,73000,531380000,41044000,672650000,4010000,157760000,22080000,330630000,37634000,10231000,11904000,2649000,4488000,3201000,319154000,1213000,231330000,178868000,1096000,112000,535682000,42337000,687404000,4301000,147751000,25339000,355111000,22944000,12530000,11832000,2283000,4100000,3134000,325856000,1202000,232754000,174801000,1405000,153000,562240000,43789000,669692000,4431000,165565000,22133000,346809000,19894000,13115000,10990000,1346000,4384000,3069000,320764000,1050000,239581000,173132000,335000,39000,581891000,45006000,651764000,4677000,151813000,24029000,356386000,23887000,13727000,10451000,988000,4085000,3279000,320962000,714000,239765000,176631000,630000,91000,579061000,45999000,642760000,4800000,127024000,21890000,378797000,43013000,14005000,12201000,841000,4439000,571000,320734000,632000,249140000,176249000,919000,132000,556603000,45605000,696242000,5056000,134342000,25451000,373531000,46077000,15146000,13645000,708000,4012000,1410000,318217000,670000,248914000,170906000,1180000,190000,558076000,46960000,708137000,5192000,150879000,23423000,374138000,48285000,15423000,12848000,648000,4132000,1770000,318768000,680000,262230000,165901000,242000,82000,575498000,44962000,694603000,4981000
"Citibank, National Association",150687000,29333000,167307000,110126000,19098000,22037000,9183000,83750000,1648000,173191000,1104000,139445000,159992000,2727000,1094000,118558000,17202000,348955000,723000,145757000,19417000,168154000,111383000,18705000,19662000,7815000,84378000,94000,167897000,1034000,142096000,150544000,687000,330000,119385000,16622000,347519000,395000,144398000,21594000,174193000,114448000,18539000,19640000,7638000,84916000,140000,168077000,1660000,146952000,152445000,1412000,646000,115543000,15610000,346340000,142000,152036000,20173000,175412000,111876000,18242000,20312000,7537000,94404000,76000,162753000,1914000,145105000,150658000,2107000,973000,114280000,16520000,351629000,173000,123165000,18620000,179746000,112627000,18198000,21074000,7203000,93329000,231000,161353000,1633000,143669000,155504000,2776000,1219000,116834000,17152000,350206000,146000,147529000,20373000,182569000,110456000,17774000,20865000,6687000,101834000,483000,160682000,1489000,150953000,147432000,635000,282000,119350000,18753000,363933000,151000,142008000,20510000,187834000,114269000,18015000,21251000,6102000,99562000,842000,158673000,1321000,152835000,158666000,1301000,525000,121239000,19183000,362755000,138000,148039000,21626000,181592000,110763000,17834000,23204000,6454000,103089000,1105000,157748000,1338000,149236000,163234000,1924000,806000,120546000,19350000,356693000,136000,151913000,21858000,184244000,113740000,17486000,23541000,5685000,102750000,104000,154470000,1181000,143852000,169077000,2528000,1087000,124091000,20276000,370536000,152000,171254000,20575000,176856000,107497000,17435000,23381000,5211000,102205000,84000,155519000,1250000,148554000,163255000,588000,313000,123726000,19985000,377694000,127000
"U.S. Bank National Association",10622022,5870424,92554596,3282240,5827279,1918673,687774,14637,242647,116568586,1238672,60541114,45981772,1794,232,112479658,3714521,149122229,140404,14048386,5985813,94133338,3594133,5694288,1902082,660842,9000,241359,115681250,1047987,62420147,45274564,599,53,115845489,3623459,151675808,136448,17896807,5704741,95530995,3983536,5332020,1866154,626962,9000,136755,116434368,1044622,64349422,46612840,875,119,117308206,3537528,160183241,134396,10415443,4643783,97348951,4252592,5260711,1803989,590993,9000,234149,116546949,1044584,64580289,48042240,1228,176,118803986,3476614,152142838,137285,11116460,5486266,98143876,5990755,5273742,1757050,559592,9000,37847,116175433,1162844,66463114,50586055,1528,240,124192268,3390502,153371076,156646,10947868,4424137,99789772,9171336,5154726,1690246,525961,9000,38117,118985172,1037532,68896478,49491150,470,92,125780381,3228671,160209363,269272,14010590,4943641,101140851,14037058,5381125,1678551,498200,9000,36740,120815741,1025004,69080322,50559827,924,174,130992010,3191227,164980969,267232,23641632,4790262,102777107,17996325,5333868,1608345,466122,9000,38906,122457226,964951,69683882,51804027,1556,233,139625798,3270800,172954122,153689,15670179,5976543,103053922,21077730,5006955,954152,438499,9000,8567,122166391,1026595,69077684,52895555,2433,285,143326519,3176245,170183517,147474,20286216,5042658,103674999,22275395,5262004,466984,1452,13000,8094,120470197,916596,70299082,51364094,731,68,144212599,3116522,174217194,145017
"PNC Bank, National Association",36111112,4356577,33445949,5035715,4077587,17241574,5209636,552855,423369,83974441,129852,65413719,26454923,28552,5854,112618679,5251078,114485258,305373,35322397,4147829,38447587,5110458,4098295,17239686,5023365,557010,363290,83576399,103607,67358595,25587433,4461,1222,116493688,5398246,114665301,342334,38360182,4406360,39082533,5722763,4038263,17172260,4802183,553564,427164,83186266,110979,66925357,25446983,9369,2798,116508165,5403934,117684088,336194,38022869,3830058,45692782,7922507,4032378,17124054,4578318,555351,465875,83549636,117339,66243092,25564855,13996,4745,116016469,5402387,123999971,353719,34548888,4060760,47968471,9518004,4008994,17283821,4382704,625821,483201,83110679,134606,66632726,25837606,19540,6300,119257546,5243896,123376528,345961,33317554,3856257,49775694,10071794,3984819,17439638,4176239,864620,412826,83167760,114144,68478217,25436254,5141,2457,121089816,5174753,124130914,356472,30927878,4191703,49223593,9698296,4030440,17051187,3904919,921339,483495,83677057,119103,68813802,25663750,9142,4931,120338607,5172642,125269652,370773,31526976,4527342,55753991,11998029,3986320,17175831,3740149,1017057,525051,83728019,119241,70206048,25999525,13285,7722,121516997,5193900,134039507,360467,30529047,4875189,54067481,13092585,3891538,16346017,3555318,985616,530548,83735868,130058,70593170,26598218,18290,10284,122884785,5136251,129648097,353066,32861126,4998471,54986968,12835738,3835139,15980996,3387187,1018068,515512,82807864,112867,72663547,26042577,5533,3372,127275474,5057760,128982680,349661
"The Bank of New York Mellon",111485000,6317000,72679000,23010000,5240000,13801000,5129000,23556000,86000,3853000,0,2235000,78000,12000,37000,1089000,0,136839000,0,106948000,6613000,82671000,26922000,5130000,13650000,4800000,23589000,83000,4019000,0,2527000,103000,2000,16000,1108000,0,143953000,0,123071000,7835000,77664000,22349000,4519000,13460000,4670000,23655000,1000,4210000,0,2185000,96000,3000,38000,1743000,2697000,151093000,0,101669000,7666000,76650000,21844000,4308000,12846000,4426000,22536000,3000,4231000,0,2693000,104000,5000,63000,1791000,3121000,132558000,0,126465000,6003000,77013000,21733000,4040000,11959000,3939000,21920000,3000,4356000,0,2906000,99000,6000,90000,1766000,3412000,123255000,0,108426000,3362000,77538000,22279000,3715000,11176000,3694000,21323000,2000,4590000,0,2805000,104000,1000,33000,1309000,3911000,120615000,5000,102741000,5045000,77488000,22874000,3737000,10712000,3342000,21229000,1000,4694000,0,2978000,78000,1000,70000,1863000,3341000,132873000,0,96116000,4490000,78366000,23228000,3551000,9963000,2983000,21617000,1000,4530000,0,3421000,68000,2000,111000,2037000,3418000,138145000,1000,73505000,4245000,77391000,21987000,3369000,9033000,2696000,18660000,1000,4428000,0,3063000,56000,4000,157000,2090000,3674000,104521000,0,81319000,4709000,78106000,21944000,3295000,8474000,2521000,18804000,1000,4353000,0,3839000,53000,1000,44000,2239000,4365000,104887000,1000
"Capital One, National Association",37717087,2492626,37584194,1868537,54547,7112038,2208061,210011,18706,54212781,7630,17106238,55286121,0,0,124052957,2190604,68659705,107355,42426052,2238926,38968618,2276122,32686,6201942,2263490,209159,18931,53660488,7142,17342207,54435850,0,0,126420664,2146130,71744169,104457,42240654,2100875,40010744,2274912,32072,5376030,2156327,117971,18827,51995299,4033,16966562,55860789,0,0,124711260,2110240,72608474,104396,42182985,1881832,40937090,2277994,31762,4888066,2045897,117741,19013,50270196,4281,17034049,56833119,0,0,126047252,2092025,74174307,103421,46786990,2493411,41620753,2512503,0,4415281,1948795,0,18954,54394455,4425,20684078,59105541,0,0,129658543,2059621,76277640,104960,41876705,2274817,43726702,2800951,0,4053476,1849248,13000,19314,54452150,8101,21563067,58129017,0,0,133170480,2063487,77493862,105003,47015634,2522753,43558237,2904737,0,4007153,1787826,37028,19507,54134378,13628,21711395,60011591,0,0,132271959,2058801,78964070,106325,46891150,2519358,44836680,2895640,0,3955241,1745549,134615,19579,53747655,17101,22087386,61704032,0,0,133296782,2031657,80516149,111741,49837900,2838440,45056577,2836372,0,3575756,1684197,356392,19211,52749810,13553,22159615,65496763,0,0,137053765,2014863,83687746,111528,47374172,2773294,45535621,2490431,0,3546705,1621697,357043,21134,52046713,11575,21833985,65289082,0,0,141212173,2035563,87128311,113233
"State Street Bank and Trust Company",94310206,1315601,36584582,10082770,10838632,55200996,15872085,9562507,103383,88335,5738,2107161,180354,5470,38276,616406,3420,106530940,0,85655452,2761231,39245720,12434216,11066153,52706810,14883409,9254679,393432,96130,5345,2620264,185202,1385,11355,792117,3605,105438235,0,118908446,2716905,38410341,12949049,10470733,42956173,13747980,9342070,3454,97310,5661,2660735,374257,2429,26033,781507,3675,118069400,324,71156494,3327518,40188742,15642600,9994567,38060774,12645994,9017155,3361,115043,5668,3001240,339788,3765,44288,758891,4057,92338835,0,75709943,905788,45398560,20980899,9766962,34809116,11130548,9491842,3378,94236,6894,3203601,319870,4227,61805,780200,4197,98317593,0,67889770,3433612,47793288,23354376,10045694,33402573,11581935,10568979,3235,94504,7114,3339883,329670,108,36207,782409,4098,87648217,0,78966434,4354738,48526058,23339734,10622188,32269654,10948430,11280531,3394,99070,7299,3340319,345045,169,71433,788704,3977,92810641,0,81700733,3249913,45152852,22307573,10775907,31269255,10324054,12309173,3482,100371,8011,3416269,349428,561,111636,770882,3634,96453952,0,71659579,1235780,45404609,21264896,10336174,29148471,9026211,11847050,3545,103451,7743,3542406,332590,1002,145469,805835,3758,91577366,0,69090817,2804801,43285039,20151052,9839592,29009929,8946729,12064104,3666,103188,7444,3465949,329334,289,45956,832987,3671,86869314,0
"TD Bank, National Association",15302595,1623934,26113362,10007,806,45389177,14459453,6959950,5692,54143991,111437,21676972,19135402,0,15784,98101788,28401681,65059122,87286,15122632,1558773,25414475,10002,757,44109137,12653133,9170536,5529,54414067,111677,23404995,19628170,0,0,101138827,28055087,65058821,89756,13804215,1807836,24394865,1000,676,43737778,11658092,10389868,5556,54398255,137802,24315923,20543982,0,0,100811306,28609369,64793854,89237,10385639,1607501,29602280,6039503,676,41778690,10298464,12175688,5253,54712669,151247,25492189,21591290,0,0,101602140,30995199,68925293,89754,12418696,1968836,30982024,7968943,676,39472021,8589200,11890323,4998,55045436,154282,27219095,22552160,0,0,105639495,31091000,70982463,96502,13680178,1728904,33475726,10255623,676,39569137,7831680,13682737,4904,55495647,148253,28704655,22954279,0,0,108133799,31618330,73385137,94849,9811172,1798800,35604266,11392166,596,38850942,6752941,14133809,5123,55993408,150784,29741558,23819384,0,0,108610329,32117979,73700977,95492,13159599,1789663,37797782,13546636,591,39055823,6161604,15841325,4967,56666077,138458,30536961,24440318,0,0,110448057,35129912,76983518,95950,16670417,1932294,40529792,16967869,591,36287740,5773643,15317479,4824,57179588,151380,30803540,24781885,0,0,112752275,36684783,79406560,98123,20766269,2054181,41302084,16995535,591,35322443,5103403,17202051,4772,57399313,144767,30899802,24567126,1000,0,114924964,36433435,81902179,96973
